Date,Value,PnL
2015-01-08,-35.998647433113376,33.69684663310983
2015-01-15,-23.06484660111238,23.06484660111238
2015-01-22,-25.688083600378036,9.31023136619035
2015-01-29,-22.57871688724896,6.761313659783866
2015-02-05,-29.11570139361001,-8.195008301818376
2015-02-12,-113.32911191294605,-26.439763382717924
2015-02-19,-112.94781388441055,-22.169361841260802
2015-02-26,-12.05822791793986,-14.425577721463412
2015-03-05,-3.836823932555717,4.724149853178574
2015-03-12,-111.23579601839535,-11.917036877044243
2015-03-19,-36.27253490929252,2.3235289003941944
2015-03-26,-29.66999814345604,-21.668742581972992
2015-04-02,-22.45715633844239,-4.82679332733332
2015-04-09,-33.42892687363863,-14.840699776355876
2015-04-16,-65.06106298070624,-21.261092121913926
2015-04-23,-16.29237911453106,3.1925688066764906
2015-04-30,-11.453429369399316,-21.811100068886674
2015-05-07,-14.202401034630668,6.4486117956572
2015-05-14,-13.609508750521059,-13.81753536491658
2015-05-21,-35.44677610217151,-17.360207821692697
2015-05-28,-4.893365551569673,4.893365551569673
2015-06-04,-8.065829476294766,-8.887841611252952
2015-06-11,-17.393555421380427,-12.740741783473311
2015-06-18,-12.865583104589007,-4.826531824349729
2015-06-25,-15.284531595380713,-0.3312266898321923
2015-07-02,-39.21191759187937,-10.584413665914639
2015-07-09,-35.76235688534257,32.398229673190144
2015-07-16,-132.75554081758506,-6.3145246733557405
2015-07-23,-36.999109262803955,-21.79080505544161
2015-07-30,-25.79346567666863,-1.0132190402989067
2015-08-06,-22.903834500005587,-27.771386065003753
2015-08-13,-4.927114586043217,4.927114586043217
2015-08-20,-27.379766317534944,53.80244314996858
2015-08-27,-274.5394450457554,-21.10024415024376
2015-09-03,-171.30823853269737,-54.08445572468839
2015-09-10,-3.0879460647092856,2.8837928532000205
2015-09-17,-26.965460819789428,18.978419384162066
2015-09-24,-44.99967581438651,-37.54955234781923
2015-10-01,-62.12395365774344,43.359587601763025
2015-10-08,-80.3120111385263,-28.095666653514353
2015-10-15,-23.213383302967202,-2.218237650743106
2015-10-22,-54.625393732209275,4.634686214820093
2015-10-29,-151.97256833860396,-23.42352847753149
2015-11-05,-34.62888947474002,21.36119335710768
2015-11-12,-24.873209733459305,0.0007905174590518982
2015-11-19,-46.730613939976394,-29.272854119669518
2015-11-26,-0.007442483668910427,0.0067947948300570715
2015-12-03,-76.57826895208403,-38.78517701302805
2015-12-10,-32.972688224536114,-29.180031070557106
2015-12-17,-35.26855650131782,-20.06529576169848
2015-12-24,-34.42868012805499,-16.696522770185794
2015-12-31,-25.5048597452016,25.5048597452016
2016-01-07,-297.51347159421323,-33.8828937517036
2016-01-14,-193.412924832869,0.49826385023327996
2016-01-21,-116.59485125189829,-31.691476333805184
2016-01-28,-8.068287805701061,10.881204058406183
