Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Adj Close,SPX_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj Close,IRX_Open,IRX_High,IRX_Low,IRX_Close,IRX_Adj Close
2015-01-02,27.8475,27.860001,26.8375,27.3325,24.531765,212818400.0,15.629,15.7375,15.348,15.426,15.426,55664000.0,46.66,47.419998,46.540001,46.759998,40.620663,27913900.0,2058.899902,2072.360107,2046.040039,2058.199951,2058.199951,2708700000.0,17.76,20.139999,17.049999,17.790001,17.790001,0.03,0.03,0.015,0.015,0.015
2015-01-05,27.0725,27.1625,26.352501,26.5625,23.840672,257142000.0,15.3505,15.419,15.0425,15.1095,15.1095,55484000.0,46.369999,46.73,46.25,46.330002,40.247116,39673900.0,2054.439941,2054.439941,2017.339966,2020.579956,2020.579956,3799120000.0,19.190001,21.290001,19.190001,19.92,19.92,0.008,0.018,0.003,0.003,0.003
2015-01-06,26.635,26.8575,26.157499,26.565001,23.842909,263188400.0,15.112,15.15,14.619,14.7645,14.7645,70380000.0,46.380001,46.75,45.540001,45.650002,39.65641,36447900.0,2022.150024,2030.25,1992.439941,2002.609985,2002.609985,4460110000.0,20.33,22.9,19.52,21.120001,21.120001,0.023,0.023,0.018,0.02,0.02
2015-01-07,26.799999,27.049999,26.674999,26.9375,24.177242,160423600.0,14.875,15.064,14.7665,14.921,14.921,52806000.0,45.98,46.459999,45.490002,46.23,40.160259,29114100.0,2005.550049,2029.609985,2005.550049,2025.900024,2025.900024,3805480000.0,20.15,20.719999,19.040001,19.309999,19.309999,0.023,0.025,0.02,0.02,0.02
2015-01-08,27.307501,28.0375,27.174999,27.9725,25.10618,237458000.0,15.016,15.157,14.8055,15.023,15.023,61768000.0,46.75,47.75,46.720001,47.59,41.34169,29645200.0,2030.609985,2064.080078,2030.609985,2062.139893,2062.139893,3934010000.0,17.93,18.09,16.99,17.01,17.01,0.02,0.02,0.015,0.018,0.018
2015-01-09,28.1675,28.3125,27.5525,28.002501,25.133108,214798000.0,15.074,15.1435,14.834,14.8465,14.8465,51848000.0,47.610001,47.82,46.900002,47.189999,40.994198,23944200.0,2063.449951,2064.429932,2038.329956,2044.810059,2044.810059,3364140000.0,16.440001,18.42,16.440001,17.549999,17.549999,0.015,0.018,0.015,0.015,0.015
2015-01-12,28.15,28.157499,27.200001,27.3125,24.513815,198603200.0,14.878,14.9255,14.464,14.5705,14.5705,68428000.0,47.419998,47.540001,46.360001,46.599998,40.48167,23651900.0,2046.130005,2049.300049,2022.579956,2028.26001,2028.26001,3456460000.0,18.02,20.440001,18.02,19.6,19.6,0.015,0.015,0.01,0.013,0.013
2015-01-13,27.8575,28.200001,27.227501,27.555,24.731468,268367600.0,14.874,15.075,14.6615,14.737,14.737,82728000.0,46.970001,47.91,46.060001,46.360001,40.273182,35270600.0,2031.579956,2056.929932,2008.25,2023.030029,2023.030029,4107300000.0,18.209999,21.58,17.65,20.559999,20.559999,0.02,0.023,0.02,0.023,0.023
2015-01-14,27.26,27.622499,27.125,27.450001,24.63722,195826400.0,14.5965,14.7955,14.325,14.6635,14.6635,110774000.0,45.959999,46.240002,45.619999,45.959999,39.925705,29719600.0,2018.400024,2018.400024,1988.439941,2011.27002,2011.27002,4378680000.0,22.870001,23.34,21.32,21.48,21.48,0.025,0.025,0.023,0.025,0.025
2015-01-15,27.5,27.514999,26.665001,26.705,23.968565,240056000.0,14.7,14.8,14.341,14.3475,14.3475,88384000.0,46.220001,46.380001,45.41,45.48,39.508728,32750800.0,2013.75,2021.349976,1991.469971,1992.670044,1992.670044,4276720000.0,21.23,23.309999,20.860001,22.389999,22.389999,0.023,0.025,0.02,0.023,0.023
2015-01-16,26.7575,26.895,26.299999,26.497499,23.782328,314053200.0,14.314,14.5395,14.2625,14.537,14.537,69564000.0,45.310001,46.279999,45.169998,46.240002,40.168938,35695300.0,1992.25,2020.459961,1988.119995,2019.420044,2019.420044,4056410000.0,22.799999,23.43,20.950001,20.950001,20.950001,0.02,0.023,0.015,0.018,0.018
2015-01-19,26.858749500000002,27.06875,26.4624995,26.8387495,24.088611,256826400.0,14.47175,14.60375,14.291,14.5045,14.5045,65533000.0,45.805,46.4650005,45.369999,46.3150005,40.234093,35928600.0,2006.505005,2024.699951,1996.3049925,2020.9850465,2020.9850465,4000375000.0,21.4349995,22.400000499999997,20.2650005,20.42,20.42,0.0175,0.019,0.0115,0.013,0.013
2015-01-20,26.959999,27.2425,26.625,27.18,24.394894,199599600.0,14.6295,14.668,14.3195,14.472,14.472,61502000.0,46.299999,46.650002,45.57,46.389999,40.299248,36161900.0,2020.76001,2028.939941,2004.48999,2022.550049,2022.550049,3944340000.0,20.07,21.370001,19.58,19.889999,19.889999,0.015,0.015,0.008,0.008,0.008
2015-01-21,27.237499,27.764999,27.067499,27.387501,24.581133,194303600.0,14.482,15.3,14.363,14.8625,14.8625,201302000.0,45.939999,46.139999,45.48,45.919998,39.890953,39081100.0,2020.189941,2038.290039,2012.040039,2032.119995,2032.119995,3730070000.0,20.92,21.280001,18.639999,18.85,18.85,0.02,0.023,0.015,0.02,0.02
2015-01-22,27.565001,28.1175,27.43,28.1,25.220621,215185600.0,15.0,15.6125,15.0,15.516,15.516,107252000.0,46.380001,47.139999,46.080002,47.130001,40.942097,35898000.0,2034.300049,2064.620117,2026.380005,2063.149902,2063.149902,4176050000.0,17.98,19.23,16.07,16.4,16.4,0.02,0.02,0.013,0.015,0.015
2015-01-23,28.075001,28.4375,27.8825,28.245001,25.35076,185859200.0,15.404,15.8465,15.386,15.6195,15.6195,89928000.0,47.360001,47.389999,46.799999,47.18,40.985523,26211600.0,2062.97998,2062.97998,2050.540039,2051.820068,2051.820068,3573560000.0,16.790001,17.09,15.81,16.66,16.66,0.015,0.015,0.01,0.013,0.013
2015-01-26,28.434999,28.59,28.200001,28.275,25.377687,222460000.0,15.591,15.65,15.376,15.483,15.483,63394000.0,47.0,47.130001,46.240002,47.009998,40.837845,42525500.0,2050.419922,2057.620117,2040.969971,2057.090088,2057.090088,3465760000.0,16.959999,17.43,15.52,15.52,15.52,0.013,0.015,0.003,0.005,0.005
2015-01-27,28.105,28.120001,27.2575,27.285,24.489132,382274800.0,15.315,15.512,15.1315,15.3375,15.3375,58406000.0,42.950001,43.200001,42.110001,42.66,37.058971,169164000.0,2047.859985,2047.859985,2019.910034,2029.550049,2029.550049,3329810000.0,17.6,18.41,16.67,17.219999,17.219999,0.005,0.018,0.005,0.018,0.018
2015-01-28,29.407499,29.530001,28.827499,28.827499,25.873575,585908400.0,15.4905,15.5755,15.19,15.1955,15.1955,61276000.0,42.740002,42.790001,41.16,41.189999,35.781975,84507100.0,2032.339966,2042.48999,2001.48999,2002.160034,2002.160034,4067530000.0,16.969999,20.440001,16.92,20.440001,20.440001,0.015,0.018,0.015,0.015,0.015
2015-01-29,29.08,29.797501,28.889999,29.725,26.679106,337745600.0,15.2365,15.64,14.9665,15.589,15.589,173132000.0,40.93,42.119999,40.790001,42.009998,36.494308,63585300.0,2002.449951,2024.640015,1989.180054,2021.25,2021.25,4127140000.0,20.459999,21.559999,18.66,18.76,18.76,0.015,0.015,0.005,0.01,0.01
2015-01-30,29.6,30.0,29.2125,29.290001,26.288679,334982000.0,17.316,17.975,17.037001,17.7265,17.7265,477122000.0,41.549999,41.580002,40.349998,40.400002,35.095688,78004900.0,2019.349976,2023.319946,1993.380005,1994.98999,1994.98999,4568650000.0,20.23,22.18,19.24,20.969999,20.969999,0.005,0.008,0.003,0.005,0.005
